,Unnamed: 0,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,genre
1,37591,63.0,0.0038399999999999,0.635,190448.0,0.908,0.0834,0.239,-4.795,0.0563,110.012,0.637,1
2,37658,59.0,7.509999999999998e-05,0.352,456320.0,0.956,0.0203,0.125,-3.634,0.149,122.897,0.228,1
3,36060,54.0,0.945,0.488,352280.0,0.326,0.0157,0.119,-12.02,0.0328,106.063,0.3229999999999999,1
4,35710,55.0,0.245,0.667,273693.0,0.647,0.000297,0.0633,-7.787000000000001,0.0487,143.995,0.3,1
5,35111,62.0,0.0108,0.743,243333.0,0.67,0.0702,0.22,-4.547,0.0293,110.832,0.934,1
6,35594,58.0,0.00107,0.5,207173.0,0.836,4.03e-05,0.1969999999999999,-6.165,0.0454,90.01100000000001,0.41,1
7,37473,74.0,0.0764,0.6859999999999999,200467.0,0.7829999999999999,0.0,0.163,-4.977,0.119,119.95296059529068,0.8140000000000001,1
8,37418,64.0,0.0027199999999999,0.235,227296.0,,0.0969,0.3879999999999999,-2.842,0.0561,127.788,0.342,1
9,36605,55.0,0.122,0.5,173773.0,0.8540000000000001,0.0,0.0794,-5.151,0.0945,94.96,0.4039999999999999,1
10,37469,53.0,0.263,0.2,310933.0,0.434,0.0,0.1169999999999999,-14.274,0.0294,83.876,0.37,1
11,35233,61.0,0.608,0.6729999999999999,117013.0,0.349,0.0,0.38,-12.414,0.0368,124.451,0.609,1
12,35920,59.0,0.19,0.444,206173.0,0.56,0.0,0.1169999999999999,-5.178999999999999,0.0267,172.22400000000002,0.34,1
13,35799,67.0,0.0102,0.68,233947.0,0.536,0.00105,0.113,-6.669,0.0582,119.958,0.417,1
14,38026,65.0,0.89,0.6,217400.0,0.243,0.0022,0.249,-17.085,0.0366,110.535,0.4679999999999999,1
15,38548,58.0,0.88,,241013.0,0.179,0.000346,0.1169999999999999,-17.077,0.0337,121.498,,1
16,36078,59.0,0.833,0.471,267067.0,,0.0,0.1009999999999999,-10.879,0.0324,125.242,0.17,1
17,38356,58.0,0.0844,0.593,-1.0,0.8370000000000001,0.0,0.148,-4.834,0.0302,99.947,0.569,1
18,36749,71.0,0.0029,0.736,-1.0,0.711,0.000275,0.0948,-5.502999999999999,0.0352,112.309,0.7190000000000001,1
19,36089,59.0,0.0088799999999999,0.49,224960.0,0.951,0.00126,0.376,-3.888,0.0966,158.075,0.628,1
